#vecindario solucionInicial cantNodos cantColores conflictos tiempoEnMS
3 1 5 10 1 0
3 1 6 10 1 0
3 1 7 10 1 0
3 1 8 10 1 0
3 1 9 10 1 0
3 1 10 10 1 0
3 1 11 10 1 0
3 1 12 10 3 0
3 1 13 10 4 0
3 1 14 10 5 0
3 1 15 10 11 0
3 1 16 10 8 0
3 1 17 10 13 0
3 1 18 10 16 0
3 1 19 10 19 0
3 1 20 10 20 0
3 1 21 10 25 0
3 1 22 10 26 0
3 1 23 10 44 0
3 1 24 10 60 0
3 1 25 10 39 0
3 1 26 10 65 0
3 1 27 10 76 0
3 1 28 10 94 0
3 1 29 10 79 0
3 1 30 10 84 0
3 1 31 10 82 0
3 1 32 10 70 0
3 1 33 10 98 0
3 1 34 10 109 0
3 1 35 10 105 0
3 1 36 10 148 0
3 1 37 10 180 0
3 1 38 10 224 0
3 1 39 10 209 0
3 1 40 10 179 0
3 1 41 10 148 0
3 1 42 10 294 0
3 1 43 10 197 0
3 1 44 10 244 0
3 1 45 10 211 0
3 1 46 10 351 0
3 1 47 10 299 0
3 1 48 10 318 0
3 1 49 10 277 0
3 1 50 10 298 0
