#cantNodos cantColores HaySolucion tiempoEnMS
5 10 X 0
6 10 X 1
7 10 X 1
8 10 X 3
9 10 X 2
10 10 X 7
11 10 X 14
12 10 X 14
13 10 X 0
14 10 X 1
15 10 X 0
16 10 X 6
17 10 X 1
18 10 X 0
19 10 X 1
20 10 X 1
21 10 X 0
22 10 X 1
23 10 X 0
24 10 X 0
25 10 X 1
26 10 X 1
27 10 X 0
28 10 X 1
29 10 X 0
30 10 X 1
31 10 X 0
32 10 X 0
33 10 X 3
34 10 X 1
35 10 X 0
36 10 X 0
37 10 X 0
38 10 X 2
39 10 X 0
40 10 X 1
41 10 X 0
42 10 X 0
43 10 X 0
44 10 X 3
45 10 X 0
46 10 X 1
47 10 X 2
48 10 X 0
49 10 X 1
50 10 X 0
