#cantNodos cantColores conflictos tiempoEnMS
5 10 1 0
6 10 1 0
7 10 1 0
8 10 1 0
9 10 1 0
10 10 1 0
11 10 1 0
12 10 3 0
13 10 4 0
14 10 5 0
15 10 11 0
16 10 8 0
17 10 13 0
18 10 16 0
19 10 19 0
20 10 20 0
21 10 25 0
22 10 26 0
23 10 44 0
24 10 60 0
25 10 39 0
26 10 65 0
27 10 76 0
28 10 94 0
29 10 79 0
30 10 84 0
31 10 82 0
32 10 70 0
33 10 98 1
34 10 109 0
35 10 105 0
36 10 148 0
37 10 180 1
38 10 224 0
39 10 209 0
40 10 179 0
41 10 148 0
42 10 294 1
43 10 197 0
44 10 244 0
45 10 211 1
46 10 351 0
47 10 299 0
48 10 318 0
49 10 277 0
50 10 298 0
